case_number,year,application_start_date,final_date,gross_site_area_acres,council_district,is_protested,delta_max_height_ft,delta_max_far,delta_max_bldg_cov_pct,delta_min_lot_sqft,delta_max_height_ft_is_missing,delta_max_far_is_missing,delta_max_bldg_cov_pct_is_missing,delta_min_lot_sqft_is_missing
C14-2018-0141,2018.0,2018-11-07,,0.0,5.0,1.0,0.0,-0.05,-5.0,0.0,0,0,0,0
C14-2018-0149,2018.0,2018-12-05,2019-04-25 16:34:52,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
C14-2018-0150,2018.0,2018-12-11,,0.0,9.0,1.0,5.0,0.2999999999999999,10.0,0.0,0,0,0,0
C14-2019-0007,2019.0,2019-01-16,2019-10-17 16:34:58,0.0,3.0,1.0,,,,,1,1,1,1
C14-2019-0011,2019.0,2019-01-15,,0.0,1.0,1.0,-25.0,-0.5,-25.0,-3250.0,0,0,0,0
C14-2019-0026,2019.0,2019-01-16,,0.0,3.0,1.0,0.0,0.0999999999999999,10.0,-3250.0,0,0,0,0
C14-2019-0027,2019.0,2019-01-15,,0.0,2.0,1.0,-25.0,-0.5,-25.0,-3250.0,0,0,0,0
C14-2019-0049,2019.0,2019-02-28,2019-12-06 09:18:07,0.0,10.0,1.0,0.0,-0.0999999999999999,0.0,-2250.0,0,0,0,0
C14-2019-0053,2019.0,2019-03-05,2020-02-20 14:49:48,0.0,7.0,1.0,0.0,-0.05,-5.0,0.0,0,0,0,0
C14-2019-0054,2019.0,2019-03-07,,0.0,5.0,1.0,0.0,0.1999999999999999,25.0,-37810.0,0,0,0,0
C14-2019-0078,2019.0,2019-05-20,,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
C14-2019-0090,2019.0,2019-06-21,,0.0,5.0,0.0,0.0,0.25,25.0,-37810.0,0,0,0,0
C14-2019-0098,2019.0,2019-07-23,,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
C14-2019-0103,2019.0,2019-07-31,2020-09-03 16:37:21,0.0,1.0,0.0,0.0,1.0,20.0,0.0,0,0,0,0
C14-2019-0164,2019.0,2019-12-05,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
C14-2020-0022,2020.0,2020-01-30,2020-12-11 09:52:35,0.0,1.0,0.0,0.0,-0.0499999999999999,-5.0,2150.0,0,0,0,0
C14-2020-0023,2020.0,2020-02-21,2020-08-27 16:55:39,0.0,,1.0,0.0,0.0,-5.0,2250.0,0,0,0,0
C14-2020-0029,2020.0,2020-03-03,,0.0,3.0,1.0,55.0,2.6,40.0,2250.0,0,0,0,0
C14-2020-0030,2020.0,2020-03-03,2021-12-21 08:50:13,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
C14-2020-0031.SH,2020.0,2020-03-03,2020-10-01 16:07:33,0.0,1.0,,5.0,0.35,15.0,2250.0,0,0,0,0
C14-2020-0038,2020.0,2020-03-13,2020-10-29 10:17:07,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
C14-2020-0039,2020.0,2020-03-13,,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
C14-2020-0044,2020.0,2020-03-30,,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
