case_number,n_parcels,agg_appraised_value_median,agg_appraised_value_total,agg_total_market_value_median,agg_total_market_value_total,agg_land_market_value_median,agg_land_market_value_total,agg_improvement_market_value_median,agg_improvement_market_value_total,agg_year_built_median,agg_year_built_total,agg_land_acres_median,agg_land_acres_total,agg_source_priority,agg_improvement_sq_ft_median,agg_improvement_sq_ft_total
C14-2009-0108,1,1322482.0,1322482,0.0,0,1636353.0,1636353,4515224.0,4515224,2017.0,,110206.8,110206.8,subject,,
C14-2009-0125,1,374616.0,374616,0.0,0,1928074.0,1928074,374616.0,374616,,,93654.0,93654.0,subject,,
C14-2009-0129,1,13027500.0,13027500,0.0,0,2012984.0,2012984,26500000.0,26500000,2006.0,,43425.0,43425.0,subject,,
C14-2009-0134,1,5289000.0,5289000,0.0,0,190285.0,190285,7077149.0,7077149,1970.0,,35260.0,35260.0,subject,,
C14-2009-0140,1,1214649.0,1214649,0.0,0,187264.0,187264,1714554.0,1714554,1979.0,,44987.0,44987.0,subject,,
C14-2009-0146,1,1529820.0,1529820,0.0,0,1498995.0,1498995,5422995.0,5422995,2013.0,,16998.0,16998.0,subject,,
C14-2009-0149,1,466266.0,466266,0.0,0,265527.0,265527,605809.0,605809,1954.0,,29141.64,29141.64,subject,,
C14-2009-0151,1,6458881.0,6458881,0.0,0,1295563.0,1295563,84990000.0,84990000,2017.0,,41423.0,41423.0,subject,,
C14-2009-0151(RCA),1,6458881.0,6458881,0.0,0,1295563.0,1295563,84990000.0,84990000,2017.0,,41423.0,41423.0,subject,,
C14-2009-0151(RCA2),1,6458881.0,6458881,0.0,0,1295563.0,1295563,84990000.0,84990000,2017.0,,41423.0,41423.0,subject,,
C14-2009-0151(RCA3),1,6458881.0,6458881,0.0,0,1295563.0,1295563,84990000.0,84990000,2017.0,,41423.0,41423.0,subject,,
C14-2009-0156,1,1792650.0,1792650,0.0,0,1998328.0,1998328,1919513.0,1919513,1968.0,,11951.0,11951.0,subject,,
C14-2009-0158,1,461290.0,461290,0.0,0,1288013.0,1288013,978461.0,978461,1959.0,,0.0,0.0,subject,,
C14-2009-0162,1,400000.0,400000,0.0,0,1281893.0,1281893,447286.0,447286,2010.0,,16000.0,16000.0,subject,,
C14-2009-0163,1,579880.0,579880,0.0,0,1877764.0,1877764,955947.0,955947,1982.0,,14497.0,14497.0,subject,,
C14-2009-0164,1,45284.0,45284,0.0,0,215529.0,215529,229265.0,229265,1955.0,,9056.84,9056.84,subject,,
C14-2009-0165,1,10900000.0,10900000,0.0,0,1462175.0,1462175,12218626.0,12218626,,,152984.0,152984.0,subject,,
C14-2009-0166,1,1531952.0,1531952,0.0,0,1471540.0,1471540,1531952.0,1531952,,,7800.0,7800.0,subject,,
C14-2009-0168,2,6399948.5,12799897,0.0,0,1733705.5,3467411,52106752.5,104213505,1998.0,,963484.04,1926968.08,subject,,
C14-2010-0001,1,1108007.0,1108007,0.0,0,265369.0,265369,1108007.0,1108007,,,28.88,28.88,subject,,
C14-2010-0002,1,62007.0,62007,0.0,0,1924195.0,1924195,784729.0,784729,1980.0,,41338.0,41338.0,subject,,
C14-2010-0003,1,62007.0,62007,0.0,0,1924195.0,1924195,784729.0,784729,1980.0,,41338.0,41338.0,subject,,
C14-2010-0005,1,295170.0,295170,0.0,0,1476291.0,1476291,1143424.0,1143424,2012.0,,9839.0,9839.0,subject,,
C14-2010-0010,1,3821737.0,3821737,0.0,0,1289363.0,1289363,15159247.0,15159247,2006.0,,76434.73,76434.73,subject,,
C14-2010-0014,1,1360814.0,1360814,0.0,0,1909094.0,1909094,1360814.0,1360814,,,24742.08,24742.08,subject,,
C14-2010-0015,1,18539136.0,18539136,0.0,0,1916009.0,1916009,70300044.0,70300044,2008.0,,185391.36,185391.36,subject,,
C14-2010-0017,1,0.0,0,0.0,0,147217.0,147217,3811457.0,3811457,1981.0,,74.423,74.423,subject,,
C14-2010-0018,1,277422.0,277422,0.0,0,1924108.0,1924108,275000.0,275000,,,0.0,0.0,subject,,
C14-2010-0020,1,0.0,0,8363524.0,8363524,100058.0,100058,8376614.0,8376614,,,277.12,277.12,subject,,
C14-2010-0021,1,0.0,0,8363524.0,8363524,100058.0,100058,8376614.0,8376614,,,277.12,277.12,subject,,
C14-2010-0023,1,311309.0,311309,0.0,0,1828265.0,1828265,885054.0,885054,1948.0,,0.0,0.0,subject,,
C14-2010-0024,1,454359.0,454359,0.0,0,1943429.0,1943429,917748.0,917748,1947.0,,0.0,0.0,subject,,
C14-2010-0025,1,7176330.0,7176330,0.0,0,1355311.0,1355311,7587856.0,7587856,2013.0,,68346.0,68346.0,subject,,
C14-2010-0026,1,935669.0,935669,0.0,0,256304.0,256304,5351968.0,5351968,2002.0,,311889.6,311889.6,subject,,
C14-2010-0027,1,4175662.0,4175662,0.0,0,1427248.0,1427248,60750000.0,60750000,2012.0,,1043915.4,1043915.4,subject,,
C14-2010-0030,1,83393.0,83393,0.0,0,2039957.0,2039957,461044.0,461044,1976.0,,0.0,0.0,subject,,
C14-2010-0035,1,656250.0,656250,0.0,0,183463.0,183463,967202.0,967202,1940.0,,5250.0,5250.0,subject,,
C14-2010-0036,1,102302838.0,102302838,0.0,0,1510473.0,1510473,162655512.0,162655512,2006.0,,1203562.8,1203562.8,subject,,
C14-2010-0038,1,1016037.0,1016037,0.0,0,1664235.0,1664235,2980931.0,2980931,2017.0,,67735.8,67735.8,subject,,
C14-2010-0042,1,984033.0,984033,0.0,0,103340.0,103340,984033.0,984033,,,301130.0,301130.0,subject,,
C14-2010-0043,1,262500.0,262500,0.0,0,1740287.0,1740287,464719.0,464719,1973.0,,13125.0,13125.0,subject,,
C14-2010-0044,1,409458.0,409458,0.0,0,1470458.0,1470458,592303.0,592303,1966.0,,0.0,0.0,subject,,
C14-2010-0045,1,4391280.0,4391280,0.0,0,1995228.0,1995228,7537166.0,7537166,1992.0,,439128.0,439128.0,subject,,
C14-2010-0046,1,1706508.0,1706508,0.0,0,1276172.0,1276172,10500000.0,10500000,1985.0,,426627.0,426627.0,subject,,
C14-2010-0047,1,674573.0,674573,0.0,0,1461487.0,1461487,674573.0,674573,,,18.96,18.96,subject,,
C14-2010-0050,1,83635.0,83635,0.0,0,1955906.0,1955906,83635.0,83635,,,6969.6,6969.6,subject,,
C14-2010-0053,1,83112599.0,83112599,0.0,0,1918719.0,1918719,437823880.0,437823880,2014.0,,57226.12,57226.12,subject,,
C14-2010-0054,1,83112599.0,83112599,0.0,0,1918719.0,1918719,437823880.0,437823880,2014.0,,57226.12,57226.12,subject,,
C14-2010-0057,1,329461.0,329461,0.0,0,1440268.0,1440268,329461.0,329461,,,78443.0,78443.0,subject,,
C14-2010-0058,1,267000.0,267000,0.0,0,1749686.0,1749686,505940.0,505940,1972.0,,13350.0,13350.0,subject,,
