case_number,tcad_id,protested
C14-2009-0028,0409050612,0
C14-2009-0028,0409050606,0
C14-2009-0028,0409050609,0
C14-2009-0028,0409050330,0
C14-2009-0028,0409050608,0
C14-2009-0028,0409051001,0
C14-2009-0028,0409050619,0
C14-2009-0028,0409050604,0
C14-2009-0031,0416090201,0
C14-2009-0031,0415080308,0
C14-2009-0031,0415080304,0
C14-2009-0031,0415080303,0
C14-2009-0031,0415080302,0
C14-2009-0031,0415080307,0
C14-2009-0031,0416090203,0
C14-2009-0031,0416090202,0
C14-2009-0031,0415080301,0
C14-2009-0032,0300010201,0
C14-2009-0032,0300010202,0
C14-2009-0032,0300011401,0
C14-2009-0032,0300010206,0
C14-2009-0032,0300010208,0
C14-2009-0032,0300010210,0
C14-2009-0032,0300010203,0
C14-2009-0032,0300010205,0
C14-2009-0032,0300010204,0
C14-2009-0032,0300010701,0
C14-2009-0077,0130020513,0
C14-2009-0077,0130020516,0
C14-2009-0077,0131030303,0
C14-2009-0077,0130020511,0
C14-2009-0077,0128020303,0
C14-2009-0077,0128020901,0
C14-2009-0077,0130020512,0
C14-2009-0077,0129040601,0
C14-2009-0077,0130020510,0
C14-2009-0077,0130020428,0
C14-2009-0077,0129040503,0
C14-2009-0077,0129040212,0
C14-2009-0077,0129040211,0
C14-2009-0077,0128020302,0
C14-2009-0077,0130020514,0
C14-2009-0077,0130020509,0
C14-2009-0077,0129040518,0
C14-2009-0077,0130020515,0
C14-2009-0168,0151370432,0
C14-2009-0168,0151370411,0
C14-2009-0168,0151370434,0
C14-2010-0025,0226040109,0
C14-2010-0025,0226040226,0
C14-2010-0025,0226040104,0
C14-2010-0025,0226040113,0
C14-2010-0025,0226040130,0
C14-2010-0025,0226040223,0
C14-2010-0025,0226040116,0
C14-2010-0025,0226045501,0
C14-2010-0025,0226041401,0
C14-2010-0025,0226040115,0
C14-2010-0025,0226040222,0
C14-2010-0025,0226040112,0
C14-2010-0025,0226044901,0
