case_id,geoid_tract,geoid_bg,source
C14-03-0106,48453034300,484530343000,geocoder
C14-03-0107,48491020410,484910204100,geocoder
C14-03-0108,48453034300,484530343000,geocoder
C14-03-0109,48453033800,484530338000,geocoder
C14-03-0110,48453042200,484530422000,geocoder
C14-03-0112,48453000902,484530009020,geocoder
C14-03-0113,48453040100,484530401000,geocoder
C14-03-0114,48453002451,484530024510,geocoder
C14-03-0116,48453002448,484530024480,geocoder
C14-03-0116.01,48453002448,484530024480,geocoder
C14-03-0116.02,48453002448,484530024480,geocoder
C14-03-0116.03,48453002448,484530024480,geocoder
C14-03-0118.SH,48453000804,484530008040,geocoder
C14-03-0126,48453040400,484530404000,geocoder
C14-03-0127,48453002451,484530024510,geocoder
C14-03-0130,48491020404,484910204040,geocoder
C14-03-0131,48453041000,484530410000,geocoder
C14-03-0132,48453000608,484530006080,geocoder
C14-03-0133,48491020406,484910204060,geocoder
C14-03-0134,48453001912,484530019120,geocoder
C14-03-0136,48453002007,484530020070,geocoder
C14-03-0137,48453002322,484530023220,geocoder
C14-03-0138,48453031600,484530316000,geocoder
C14-03-0139,48453031600,484530316000,geocoder
C14-03-0141,48453001312,484530013120,geocoder
C14-03-0143,48453031700,484530317000,geocoder
C14-03-0144,48453000204,484530002040,geocoder
C14-03-0146,48453034400,484530344000,geocoder
C14-03-0148,48453000205,484530002050,geocoder
C14-03-0150,48453041000,484530410000,geocoder
C14-03-0152,48453002310,484530023100,geocoder
C14-03-0153,48453002310,484530023100,geocoder
C14-03-0155,48453002310,484530023100,geocoder
C14-03-0158,48453002444,484530024440,geocoder
C14-03-0159,48453046500,484530465000,geocoder
C14-03-0161,48453001603,484530016030,geocoder
C14-03-0162,48453041900,484530419000,geocoder
C14-03-0163,48453000606,484530006060,geocoder
C14-03-0164,48453030100,484530301000,geocoder
C14-03-0165,48453031700,484530317000,geocoder
C14-03-0167,48453000305,484530003050,geocoder
C14-03-0169,48491020406,484910204060,geocoder
C14-03-0170,48453035800,484530358000,geocoder
C14-03-0171,48453002214,484530022140,geocoder
C14-03-0172,48453002320,484530023200,geocoder
C14-03-0174,48453000700,484530007000,geocoder
C14-03-0176.SH,48453002413,484530024130,geocoder
C14-03-0177,48453034600,484530346000,geocoder
C14-03-0178,48453031200,484530312000,geocoder
C14-03-0179,48453000305,484530003050,geocoder
C14-03-0180,48491020408,484910204080,geocoder
C14-03-0181,48453045100,484530451000,geocoder
C14-03-0182,48453041900,484530419000,geocoder
C14-03-0183,48453041900,484530419000,geocoder
C14-03-0186,48453002437,484530024370,geocoder
C14-03-0187,48453001920,484530019200,geocoder
C14-04-0002,48453034400,484530344000,geocoder
C14-04-0004.002(RCA),48453001504,484530015040,geocoder
C14-04-0006,48453001308,484530013080,geocoder
C14-04-0007,48453001304,484530013040,geocoder
C14-04-0008,48453042400,484530424000,geocoder
C14-04-0011,48453002310,484530023100,geocoder
C14-04-0013,48453000803,484530008030,geocoder
C14-04-0014,48453030000,484530300000,geocoder
C14-04-0015,48453000305,484530003050,geocoder
C14-04-0016,48453032200,484530322000,geocoder
C14-04-0027,48453034400,484530344000,geocoder
C14-04-0028,48453034400,484530344000,geocoder
C14-04-0030,48453001403,484530014030,geocoder
C14-04-0031,48453001912,484530019120,geocoder
C14-04-0032,48453001912,484530019120,geocoder
C14-04-0034,48453033800,484530338000,geocoder
C14-04-0036,48453002437,484530024370,geocoder
C14-04-0037,48453002437,484530024370,geocoder
C14-04-0038,48453001920,484530019200,geocoder
C14-04-0039,48453034700,484530347000,geocoder
C14-04-0040,48453001304,484530013040,geocoder
C14-04-0044,48453002446,484530024460,geocoder
C14-04-0045,48453002446,484530024460,geocoder
C14-04-0046,48453002446,484530024460,geocoder
C14-04-0047,48453031000,484530310000,geocoder
C14-04-0050,48453002446,484530024460,geocoder
C14-04-0051,48453002446,484530024460,geocoder
C14-04-0052,48453002446,484530024460,geocoder
C14-04-0053,48453002446,484530024460,geocoder
C14-04-0057,48453044900,484530449000,geocoder
C14-04-0058,48453041500,484530415000,geocoder
C14-04-0062,48453002003,484530020030,geocoder
C14-04-0064,48453000500,484530005000,geocoder
C14-04-0065,48453000101,484530001010,geocoder
C14-04-0068,48453001920,484530019200,geocoder
C14-04-0070,48491020406,484910204060,geocoder
C14-04-0071,48453033000,484530330000,geocoder
C14-04-0072,48453000902,484530009020,geocoder
C14-04-0073,48453044200,484530442000,geocoder
C14-04-0075,48453002437,484530024370,geocoder
