parcel_id_10,latitude,longitude
0100031714,30.25286813,-97.75852766
0100031715,30.25310954,-97.75884496
0100031716,30.25293096,-97.75865603
0100031717,30.25299626,-97.75879254
0100031718,30.25296642,-97.75894744
0100031719,30.25268297,-97.75831036
0100031803,30.25407047,-97.75789515
0100031805,30.25389351,-97.75755705
0100031806,30.25381066,-97.75738148
0100031807,30.25378694,-97.75720074
0100031808,30.25365090,-97.75729566
0100031809,30.25329370,-97.75741876
0100031810,30.25341639,-97.75750689
0100031811,30.25341895,-97.75767441
0100031812,30.25360473,-97.75789058
0100031813,30.25366768,-97.75801863
0100031814,30.25373030,-97.75814622
0100031815,30.25379310,-97.75827412
0100031816,30.25378269,-97.75841664
0100031817,30.25352948,-97.75773735
0100031901,30.25426409,-97.75687175
0100031902,30.25406314,-97.75696115
0100031903,30.25428558,-97.75706798
0100031904,30.25438745,-97.75718994
0100031905,30.25445377,-97.75732501
0100031906,30.25451657,-97.75745303
0100031907,30.25458005,-97.75758250
0100031908,30.25464368,-97.75771225
0100031909,30.25469054,-97.75784240
0100032001,30.25199468,-97.76197542
0100032002,30.25155312,-97.76224589
0100032101,30.25270948,-97.76151686
0100032102,30.25234992,-97.76173840
0100032301,30.25397897,-97.75773126
0100032401,30.25344288,-97.75900934
0100032501,30.25413268,-97.75802265
0100032601,30.25419536,-97.75815080
0100032701,30.25256542,-97.76122048
0100032801,30.25326635,-97.76238552
0100050103,30.24913923,-97.76998562
0100050106,30.24960687,-97.76939184
0100050107,30.25024438,-97.76929829
0100050110,30.24954630,-97.76865784
0100050111,30.24946202,-97.76807309
0100050118,30.24890285,-97.76912155
0100050120,30.24911173,-97.76944541
0100050121,30.24883475,-97.76967760
0100050122,30.24870834,-97.76986277
0100050123,30.24923777,-97.76902600
0100050124,30.24919333,-97.76922210
0100050126,30.24978423,-97.76914136
0100050127,30.24938374,-97.76968874
0100050128,30.24941217,-97.76957038
0100050129,30.24999897,-97.76907199
0100050130,30.24997836,-97.76892962
0100050131,30.24868721,-97.77017483
0100050132,30.24851453,-97.77038524
0100050203,30.25127009,-97.76840396
0100050210,30.25207679,-97.76751529
0100050212,30.25279510,-97.76763671
0100050216,30.25236407,-97.76676207
0100050231,30.25053514,-97.76628932
0100050238,30.25039888,-97.76764095
0100050242,30.24992563,-97.76751747
0100050244,30.25001698,-97.76778048
0100050245,30.25021285,-97.76786250
0100050246,30.25027605,-97.76799770
0100050247,30.25034139,-97.76813730
0100050248,30.25037466,-97.76829839
0100050249,30.25047142,-97.76841405
0100050250,30.25050957,-97.76861554
0100050252,30.25066649,-97.76883765
0100050253,30.25074745,-97.76896741
0100050256,30.24979121,-97.76732706
0100050257,30.24997196,-97.76709422
0100050258,30.25045463,-97.76676499
0100050259,30.25151127,-97.76786766
0100050260,30.25161841,-97.76612691
0100050264,30.25084483,-97.76864764
0100050265,30.25103792,-97.76864588
0100050266,30.25117771,-97.76852639
0100050303,30.24825737,-97.76812029
0100050304,30.24822755,-97.76781460
0100050305,30.24795580,-97.76760698
0100050308,30.24859281,-97.76646552
0100050309,30.24903281,-97.76621217
0100050316,30.24826307,-97.76875960
0100050317,30.24861286,-97.76865680
0100050318,30.24823755,-97.76720347
0100050319,30.24860314,-97.76707627
0100050320,30.24915476,-97.76608275
0100050321,30.24887950,-97.76606812
0100050322,30.24905384,-97.76586648
0100050401,30.24910299,-97.76788134
0100050406,30.25021552,-97.76577091
0100050407,30.25029236,-97.76566858
0100050409,30.25054451,-97.76544079
0100050412,30.25043017,-97.76519949
0100050413,30.25019975,-97.76538320
0100050414,30.25011206,-97.76549222
0100050415,30.24999472,-97.76562136
0100050416,30.24977914,-97.76590712
0100050417,30.25058622,-97.76522743
0100050419,30.25068833,-97.76514050
0100050420,30.25084133,-97.76497923
0100050421,30.24940023,-97.76709672
0100050422,30.24956444,-97.76648182
0100050423,30.25001310,-97.76613357
0100050501,30.25120128,-97.76474750
0100050702,30.25207984,-97.76485790
0100050703,30.25180036,-97.76510197
0100050704,30.25146125,-97.76521358
0100050707,30.25290303,-97.76701814
0100050713,30.25252963,-97.76612394
0100050715,30.25317472,-97.76709700
0100050801,30.25186541,-97.76541033
0100050901,30.25058609,-97.76870774
0100051001,30.25193778,-97.76588336
0100051101,30.25085787,-97.76643052
0100051201,30.25035946,-97.76541960
0100051301,30.25248976,-97.76768134
0100051401,30.24893048,-97.77001114
0100051501,30.24920378,-97.76980513
0100051601,30.25286795,-97.76660654
0100051701,30.25003198,-97.76923890
0100060104,30.25131234,-97.77346895
0100060107,30.25238443,-97.77336771
0100060108,30.25229599,-97.77319094
0100060110,30.25206690,-97.77287134
0100060111,30.25201022,-97.77270780
0100060112,30.25194312,-97.77257034
0100060113,30.25187472,-97.77242780
0100060114,30.25174972,-97.77231262
0100060115,30.25166989,-97.77219371
0100060116,30.25165620,-97.77178523
0100060117,30.25148658,-97.77186296
0100060120,30.25093686,-97.77254092
0100060123,30.25054869,-97.77293183
0100060124,30.25039051,-97.77304251
0100060125,30.25200073,-97.77345014
0100060129,30.25182552,-97.77358836
0100060131,30.25020454,-97.77310337
0100060136,30.25095383,-97.77419350
0100060150,30.25080902,-97.77426086
0100060202,30.25295910,-97.77187200
0100060205,30.25284186,-97.77096515
0100060207,30.25241316,-97.77200243
0100060209,30.25248443,-97.77212627
0100060210,30.25263772,-97.77222319
