Anchor,Model,Profile,Evaluate_Year,PRAUC
Pre-2019,TabNetVREx,ExtShallow,2023,0.4428436147186147
Pre-2019,CatBoost,ExtDeep,2023,0.8196019176901529
Pre-2019,XGBoost,ExtDeep,2023,0.8152272727272727
Pre-2019,RandomForest,ExtDeep,2023,0.8186752136752136
Pre-2019,LightGBM,ExtDeep,2023,0.7575557775557775
Pre-2019,Logistic,ExtDeep,2023,0.7444828700711053
Pre-2019,TabNet,ExtDeep,2023,0.13532181465660736
Pre-2019,TabNetVREx,ExtDeep,2023,0.34522570939956654
Pre-2019,CatBoost,Default,2024,0.5644444444444444
Pre-2019,XGBoost,Default,2024,0.7277777777777779
Pre-2019,RandomForest,Default,2024,0.5783333333333333
Pre-2019,LightGBM,Default,2024,0.6961904761904762
Pre-2019,Logistic,Default,2024,0.3912698412698412
Pre-2019,TabNet,Default,2024,0.18785247432306254
Pre-2019,TabNetVREx,Default,2024,0.10730469249456592
Pre-2019,CatBoost,HighCap,2024,0.8583333333333332
Pre-2019,XGBoost,HighCap,2024,0.6977777777777778
Pre-2019,RandomForest,HighCap,2024,0.5783333333333333
Pre-2019,LightGBM,HighCap,2024,0.6944444444444444
Pre-2019,Logistic,HighCap,2024,0.37146464646464644
Pre-2019,TabNet,HighCap,2024,0.016344303502529973
Pre-2019,TabNetVREx,HighCap,2024,0.04728390392859257
Pre-2019,CatBoost,Regularized,2024,0.8392857142857142
Pre-2019,XGBoost,Regularized,2024,0.731111111111111
Pre-2019,RandomForest,Regularized,2024,1.0
Pre-2019,LightGBM,Regularized,2024,0.8766666666666667
Pre-2019,Logistic,Regularized,2024,0.48571428571428565
Pre-2019,TabNet,Regularized,2024,0.2677523983554135
Pre-2019,TabNetVREx,Regularized,2024,0.20185457789673242
Pre-2019,CatBoost,ExtShallow,2024,0.5644444444444444
Pre-2019,XGBoost,ExtShallow,2024,0.6683333333333334
Pre-2019,RandomForest,ExtShallow,2024,0.5059523809523809
Pre-2019,LightGBM,ExtShallow,2024,0.7392857142857143
Pre-2019,Logistic,ExtShallow,2024,0.6511111111111112
Pre-2019,TabNet,ExtShallow,2024,0.3847979797979798
Pre-2019,TabNetVREx,ExtShallow,2024,0.3938888888888889
Pre-2019,CatBoost,ExtDeep,2024,0.8392857142857142
Pre-2019,XGBoost,ExtDeep,2024,0.9028571428571428
Pre-2019,RandomForest,ExtDeep,2024,0.6783333333333333
Pre-2019,LightGBM,ExtDeep,2024,0.8253968253968254
Pre-2019,Logistic,ExtDeep,2024,0.3638888888888889
Pre-2019,TabNet,ExtDeep,2024,0.014556106248381972
Pre-2019,TabNetVREx,ExtDeep,2024,0.09159959758551307
Pre-2020,CatBoost,Default,2021,0.3953952978072227
Pre-2020,XGBoost,Default,2021,0.5688983020263808
Pre-2020,RandomForest,Default,2021,0.6904183520526608
Pre-2020,LightGBM,Default,2021,0.5176314026117901
Pre-2020,Logistic,Default,2021,0.5338232575809121
Pre-2020,TabNet,Default,2021,0.5051210412394623
Pre-2020,TabNetVREx,Default,2021,0.17849801783185698
Pre-2020,CatBoost,HighCap,2021,0.5156885898265209
Pre-2020,XGBoost,HighCap,2021,0.6109912930689516
Pre-2020,RandomForest,HighCap,2021,0.6318756920017424
Pre-2020,LightGBM,HighCap,2021,0.5071121026008244
Pre-2020,Logistic,HighCap,2021,0.42633817250265943
Pre-2020,TabNet,HighCap,2021,0.21379090604027728
Pre-2020,TabNetVREx,HighCap,2021,0.15498519706768832
Pre-2020,CatBoost,Regularized,2021,0.4633217767454221
Pre-2020,XGBoost,Regularized,2021,0.48578640581540633
Pre-2020,RandomForest,Regularized,2021,0.42944642683607026
Pre-2020,LightGBM,Regularized,2021,0.4746051067078917
Pre-2020,Logistic,Regularized,2021,0.49647494145873716
Pre-2020,TabNet,Regularized,2021,0.16870442506495503
Pre-2020,TabNetVREx,Regularized,2021,0.30095001796247955
Pre-2020,CatBoost,ExtShallow,2021,0.44864822892773204
Pre-2020,XGBoost,ExtShallow,2021,0.49176443116535284
Pre-2020,RandomForest,ExtShallow,2021,0.6232775537270612
Pre-2020,LightGBM,ExtShallow,2021,0.45461033675319384
Pre-2020,Logistic,ExtShallow,2021,0.441302486511846
Pre-2020,TabNet,ExtShallow,2021,0.24171597888738158
Pre-2020,TabNetVREx,ExtShallow,2021,0.26134518468396517
Pre-2020,CatBoost,ExtDeep,2021,0.48545716378764137
Pre-2020,XGBoost,ExtDeep,2021,0.5314766177317909
Pre-2020,RandomForest,ExtDeep,2021,0.6953031517717689
Pre-2020,LightGBM,ExtDeep,2021,0.5519777951666496
Pre-2020,Logistic,ExtDeep,2021,0.4896963665961476
Pre-2020,TabNet,ExtDeep,2021,0.30659762064115853
Pre-2020,TabNetVREx,ExtDeep,2021,0.37565644829727185
Pre-2020,CatBoost,Default,2022,0.23637473637473638
Pre-2020,XGBoost,Default,2022,0.29851190476190476
Pre-2020,RandomForest,Default,2022,0.44358974358974357
Pre-2020,LightGBM,Default,2022,0.28525641025641024
Pre-2020,Logistic,Default,2022,0.3506944444444444
Pre-2020,TabNet,Default,2022,0.5166666666666666
Pre-2020,TabNetVREx,Default,2022,0.21827518886342415
Pre-2020,CatBoost,HighCap,2022,0.34794372294372294
Pre-2020,XGBoost,HighCap,2022,0.2761904761904762
Pre-2020,RandomForest,HighCap,2022,0.4583333333333333
Pre-2020,LightGBM,HighCap,2022,0.32916666666666666
Pre-2020,Logistic,HighCap,2022,0.40158730158730155
Pre-2020,TabNet,HighCap,2022,0.03335371024324513
Pre-2020,TabNetVREx,HighCap,2022,0.09995928603999739
Pre-2020,CatBoost,Regularized,2022,0.27976190476190477
Pre-2020,XGBoost,Regularized,2022,0.2519230769230769
Pre-2020,RandomForest,Regularized,2022,0.37976190476190474
Pre-2020,LightGBM,Regularized,2022,0.2922619047619048
Pre-2020,Logistic,Regularized,2022,0.29166666666666663
Pre-2020,TabNet,Regularized,2022,0.33706896551724136
Pre-2020,TabNetVREx,Regularized,2022,0.2263548951048951
Pre-2020,CatBoost,ExtShallow,2022,0.2992424242424242
Pre-2020,XGBoost,ExtShallow,2022,0.33247863247863246
Pre-2020,RandomForest,ExtShallow,2022,0.3318452380952381
Pre-2020,LightGBM,ExtShallow,2022,0.28585164835164834
Pre-2020,Logistic,ExtShallow,2022,0.2644230769230769
Pre-2020,TabNet,ExtShallow,2022,0.09893031131512921
Pre-2020,TabNetVREx,ExtShallow,2022,0.11481159059818431
Pre-2020,CatBoost,ExtDeep,2022,0.6396103896103896
Pre-2020,XGBoost,ExtDeep,2022,0.41025641025641024
Pre-2020,RandomForest,ExtDeep,2022,0.5520833333333333
Pre-2020,LightGBM,ExtDeep,2022,0.3081709956709957
Pre-2020,Logistic,ExtDeep,2022,0.32767857142857143
Pre-2020,TabNet,ExtDeep,2022,0.16479378916152485
Pre-2020,TabNetVREx,ExtDeep,2022,0.10053175990675992
Pre-2020,CatBoost,Default,2023,0.8757783882783882
Pre-2020,XGBoost,Default,2023,0.7966117216117216
Pre-2020,RandomForest,Default,2023,0.8548523698523698
