,Anch2018_CatBoost_YetiRank_Depth6_Base,Anch2018_CatBoost_YetiRank_Depth6_Meta_Recursive,Anch2018_CatBoost_YetiRank_Depth10_Base,Anch2018_CatBoost_YetiRank_Depth10_Meta_Recursive,Anch2019_CatBoost_YetiRank_Depth6_Base,Anch2019_CatBoost_YetiRank_Depth6_Meta_Recursive,Anch2019_CatBoost_YetiRank_Depth10_Base,Anch2019_CatBoost_YetiRank_Depth10_Meta_Recursive,Anch2020_CatBoost_YetiRank_Depth6_Base,Anch2020_CatBoost_YetiRank_Depth6_Meta_Recursive,Anch2020_CatBoost_YetiRank_Depth10_Base,Anch2020_CatBoost_YetiRank_Depth10_Meta_Recursive,Anch2021_CatBoost_YetiRank_Depth6_Base,Anch2021_CatBoost_YetiRank_Depth6_Meta_Recursive,Anch2021_CatBoost_YetiRank_Depth10_Base,Anch2021_CatBoost_YetiRank_Depth10_Meta_Recursive,Anch2022_CatBoost_YetiRank_Depth6_Base,Anch2022_CatBoost_YetiRank_Depth6_Meta_Recursive,Anch2022_CatBoost_YetiRank_Depth10_Base,Anch2022_CatBoost_YetiRank_Depth10_Meta_Recursive,Anch2023_CatBoost_YetiRank_Depth6_Base,Anch2023_CatBoost_YetiRank_Depth6_Meta_Recursive,Anch2023_CatBoost_YetiRank_Depth10_Base,Anch2023_CatBoost_YetiRank_Depth10_Meta_Recursive,Mathematical_Cluster,Average_Attribution_Magnitude
district_delta_max_bldg_cov_pct_lag_2yr,0.0,0.1231577780533551,0.4068579560877274,0.5275840835299647,0.304173046858314,0.1571848619593102,0.0422751823020062,0.2742619851107499,0.1313345051742487,0.2539655938131666,0.0,0.3530567640445936,0.0,0.5898166252267667,0.2366598377951503,0.8506264442361013,0.0,0.332671087903891,0.0,0.6100710369075121,0.0,0.1947974329441084,0.0886598193505546,0.2602075183286477,1,0.23905673165109032
district_longitude_lag_4yr,0.0,0.2412150611004877,0.1540874513016929,0.3220866917297228,0.0,0.2828442456491319,0.0472675485634963,0.2192410238600169,0.0,0.442748630483636,0.1530300334722313,0.1888208075923746,0.0,0.7293729481064545,0.4480398088893332,0.5459498373364987,0.0,0.5696867034576536,0.1812077667684454,0.1528498619998753,0.0,0.1926602847890457,0.1790335137563763,0.5501698132087669,1,0.23334633466938506
district_std_appraised_value_lag_1yr,0.2693526630272279,0.0,0.184728321474794,0.2765195405504457,0.1423538043372718,0.104068508496468,0.0,0.0847512057997278,1.4467979715244774,0.0191207053339116,0.4221778552450411,0.1706411499013747,0.2246233608177722,0.0577116975969622,0.311753333929563,0.1244890339314201,0.24573374737083,0.0035326365488022,0.3226775174557038,0.5239584461611797,0.1328636467583422,0.1704229499292286,0.0584205450008928,0.242708653271601,1,0.23080863726929324
district_protest_rate_lag_2yr,0.0,0.2995503721420648,0.1992627910294473,0.3727802485346085,0.237547027791106,0.2983375159877525,0.1782174336304134,0.3223580469926745,0.0,0.3166680380667472,0.0,0.1490412751176013,0.0,0.4062823358607745,0.2842062312357282,0.8563668360205114,0.0,0.1995738042922564,0.3828716436268785,0.1598000278906337,0.0,0.1319610653451633,0.1164525257437416,0.3898129094232913,1,0.2208787553638081
district_latitude_lag_6yr,0.4037707393428381,0.1693848984628367,0.2400042865996657,0.215894246146743,0.0,0.6245562588467956,0.0248452976143882,0.3910967908673286,0.1177705004412447,0.1791668660774263,0.0,0.2660432081774645,0.0,0.3179819003175189,0.1035848834893685,0.1278693810474301,0.2196176785873028,0.210671317463137,0.3606746012245851,0.2815410622126825,0.083593635180483,0.3817473555051848,0.1665923922333489,0.3432202212240551,1,0.21790114671090946
district_longitude_lag_6yr,0.0901096779958756,0.0962390415641316,0.1915311986763019,0.3058866508480027,0.0,0.2997286944448875,0.1123270478453719,0.2955798760292121,0.1412665967469036,0.1151484017800204,0.1607681131567868,0.1713582084859624,0.0,0.3576965666785817,0.0940061420822574,0.3565123003689311,0.0,0.2572145114163284,0.2453863151382276,0.5588673418193876,0.1844920804999539,0.4460197890219737,0.2527236329533667,0.4833573718418603,1,0.2173424816414302
district_delta_max_height_ft_lag_3yr,0.0704684729481572,0.2220140745450531,0.2822889376239585,0.2775121838677752,0.0670336862730133,0.1811239210102126,0.5005669487873898,0.4565163535655159,0.0,0.0378824880700886,0.4464839567722603,0.237797834384423,0.0699920270721865,0.2155803108225835,0.2164944845896108,0.142831150678469,0.2780179899113228,0.133770972275956,0.358394680475889,0.1723985882304184,0.0,0.3642888570750997,0.154256316568745,0.2886223027392387,1,0.21559735576197356
district_spatial_contagion_3yr_lag_1yr,0.0470033105930886,0.2884647747527658,0.1521620426495894,0.2826719731093648,0.0,0.3268691121518308,0.0832635621964797,0.1984996165428551,0.2282486940428661,0.3145127409845622,0.0,0.4404109562934895,0.0,0.4422226577147463,0.1083856540276868,0.3857872783845992,0.1884488138905147,0.1775276975679369,0.174349648102716,0.5168389132735071,0.0,0.2656513911690118,0.0548484081541787,0.4185923108104935,1,0.2122816481838451
district_council_district_y_lag_1yr,0.0,0.3328160250896177,0.0295522247912358,0.3031137667681186,0.0,0.3109669889363708,0.0,0.2019592469168701,0.0,0.4158590292178739,0.0,0.2883059838536278,0.0,0.622272978399757,0.0926473086493085,0.4619549905100018,0.0,0.2523407003088779,0.0,0.2755020145074914,0.0,0.723224126580101,0.0,0.4307601614281505,1,0.1975531477482251
district_median_neighbor_far_lag_2yr,0.8025806341046682,0.3211967061120578,0.5504067066660431,0.4181374910235116,0.0,0.073082149730473,0.0,0.3275550306597267,0.0,0.0776900834864824,0.3199338828580897,0.2114962423476711,0.0,0.1841415013584633,0.0,0.0820011161972855,0.0,0.0771815342501909,0.3380078895725081,0.2951203848052867,0.0,0.0777231897481894,0.1818689054585027,0.3251505757198234,1,0.19430308433745722
district_ldb_units_lag_2yr,0.0,0.2253223737988283,0.06967030374877,0.1321413223392189,0.0151580074239585,0.0435458453212813,0.2313357344636763,0.5002374629742556,0.0,0.2282931891292506,0.0504768949517194,0.4338607612317322,0.0075019318987463,0.7505843911716196,0.1590513822983188,0.4734410427632407,0.0426987708769711,0.035908418007799,0.0460758367005022,0.1280193385642463,0.0515930171185698,0.2973510494506703,0.3270290501449572,0.3308822301394526,1,0.19084076477157438
