CASE_NUMBER,has_transcribed_opposition,prob_frame_traffic,prob_frame_infrastructure,prob_frame_displacement,prob_frame_neighborhood,prob_frame_procedural
C14-2010-0161,0,0.5356148790681312,0.5074622027102729,0.43790459572048857,0.41415016123126835,0.48264421095576043
C14-2010-0052,0,0.436207831980436,0.4251711131115407,0.48439101218942177,0.4534666582952926,0.481653039859
C14-2013-0067,0,0.5574101501491753,0.5503921325124791,0.44826858422948007,0.43627336552458734,0.5246847451914076
C14-2016-0059,0,0.5009544560060449,0.5125320511048103,0.42715614499485954,0.4669316947569269,0.5258041768640112
C14-2018-0030,0,0.41389690994962464,0.4303676849384193,0.48254233964456805,0.46879290030288623,0.333346882051274
C14H-2010-0040,0,0.4010561204287334,0.4310585020236613,0.5251656619938404,0.5153932140115333,0.3537605605450652
C14-2013-0085,0,0.5051763298253537,0.5619172939734378,0.4964968308323187,0.5335265398723671,0.512484490158273
C14-2011-0154,0,0.41258397223960736,0.45769992615593014,0.44179626505651376,0.3533617044233801,0.3056868767917684
C814-2012-0163,0,0.4882674984527238,0.522777655398465,0.4359099417948255,0.4881109535390486,0.47364667177601794
C14-2016-0045,0,0.5928616167573744,0.5888043058170189,0.543280417321376,0.5466044591700925,0.6180196581025421
C14-2015-0142,0,0.4888974975011943,0.481386443469963,0.5251386079000093,0.28647219306922383,0.246851063084946
C14-2010-0126,0,0.46011399891232874,0.3734931920476489,0.3858029269095937,0.42150499964582755,0.33798504530485557
C14-2011-0111,0,0.5090206593735018,0.5260040521980214,0.38035247804704186,0.36218817655017005,0.5015193100282532
C14-2013-0061,0,0.5547920661215309,0.5729194600093638,0.4665450299656485,0.45765244966381946,0.5417601884327614
C14H-2018-0032,0,0.4749685673315144,0.45448001987755904,0.5169647747536268,0.28078866774988404,0.22925376926717606
C14-2017-0079,0,0.33347346901153574,0.3582471709789736,0.6511609429110888,0.6131455907443472,0.309624432052629
C14-2015-0146,0,0.5933569120255147,0.5884602797336868,0.543334614025378,0.5462993313686557,0.6183079675050102
C14-2018-0088,0,0.3626626472730285,0.41141311315220275,0.3928823428550925,0.5151764147398312,0.35486522831671313
C14-2013-0146,0,0.46600630873616605,0.4528730197360335,0.4067204993669539,0.44599958801593875,0.4736241558972252
C814-06-0106.02,0,0.6098145471213849,0.551457163249686,0.4311048351512691,0.39480811238674446,0.5049763379680332
C14-2013-0122,0,0.46091673259168,0.48981166610137417,0.4350348587903271,0.5814703875832179,0.47539345997126586
C14-2013-0125,0,0.4907617943001351,0.45525505936834004,0.4725397714801695,0.4571216852760121,0.4551536611723567
C14H-2017-0039,0,0.4544193091546378,0.4075319119334237,0.39329508653294365,0.5513862074204544,0.4175449407133606
C14-2014-0019,0,0.46954956940959053,0.47508992132656724,0.378338956006669,0.4390602845017312,0.4312649208681602
C14-2010-0097,0,0.5864646561300002,0.4914789043702773,0.4242055054715213,0.3942465625125981,0.5257713866097108
C14-2019-0098,0,0.38601558768298305,0.37606696289758645,0.37084828320039503,0.41136423987681087,0.40404502760040556
C14-2007-0087,0,0.4748533524411541,0.45503337940931243,0.5172160374098012,0.2809620419204416,0.22940207942623322
C14-2016-0137,0,0.44891692412195494,0.4553602597412769,0.5251851949112407,0.28981366336930037,0.2269307044485963
C14-2014-0053,0,0.5425606436564945,0.4960558042593419,0.42950609770907267,0.43435043574224286,0.5117352026351051
NPA-2012-0025.02,0,0.4890925116227078,0.4980260838258951,0.5118272954646718,0.2813805641892652,0.2617559844893071
C14-2017-0094,0,0.46943766497827877,0.4030699260873544,0.3851326433777737,0.45058826989708317,0.3850675929996324
C14-2014-0047,0,0.5017997281749637,0.5125338059347769,0.5273047634692788,0.2934446727827769,0.26241692882484047
NPA-2019-0020.04,0,0.37823772479532153,0.4752800193151311,0.47040372660185076,0.523569495372326,0.364309757864847
C14-2016-0020,0,0.5000983804826354,0.5125809758809587,0.42712080182079815,0.46705523808976274,0.5257011307073416
C14-2017-0074,0,0.4693277052940046,0.40298647308789093,0.38489183638240204,0.4504193944166284,0.3846481532778556
C14-2010-0063,0,0.36890931063989274,0.5157111880186005,0.33487242379280635,0.33518418932699545,0.3531876775562157
C14-2010-0058,0,0.5594064179013231,0.5300733122958086,0.4508430848645497,0.41028151093664716,0.5040860887013717
C14-2012-0130,0,0.3539778324411401,0.48566034875330344,0.4696533571435105,0.6286379195170514,0.3797383864802516
C14-2019-0133,0,0.4363972575514956,0.36991351151937973,0.4164665257590014,0.4094182982126646,0.3299998997520697
