CASE_NUMBER,neighbor_tcad_id
C14-2013-0126,0212011310
C14-2013-0126,0211010902
C14-2013-0126,0211010121
C14-2013-0126,0211010502
C14-2013-0126,0211010724
C14-2013-0126,0211010707
C14-2013-0126,0211010719
C14-2013-0126,0211010302
C14-2013-0126,0211010725
C14-2013-0126,0210000403
C14-2013-0126,0212011315
C14-2013-0126,0211010201
C14-2013-0126,0210000319
C14-2013-0126,0112000310
C14-2013-0126,0211010301
C14-2013-0126,0210020608
C14-2013-0126,0210000405
C14-2013-0126,0112000308
C14-2013-0126,0211010509
C14-2013-0126,0211010281
C14-2013-0126,0211010601
C14-2013-0126,0211010907
C14-2013-0126,0211011003
C14-2013-0126,0211010406
C14-2013-0126,0211010408
C14-2013-0126,0211010714
C14-2013-0126,0211010118
C14-2013-0126,0211010209
C14-2013-0126,0211010708
C14-2013-0126,0211010905
C14-2013-0126,0211010207
C14-2013-0126,0211010115
C14-2013-0126,0211010215
C14-2013-0126,0211010104
C14-2013-0126,0211010732
C14-2013-0126,0211010210
C14-2013-0126,0211010703
C14-2013-0126,0211010407
C14-2013-0126,0112000317
C14-2013-0126,0211010401
C14-2013-0126,0112000319
C14-2013-0126,0211010506
C14-2013-0126,0211010402
C14-2013-0126,0211010508
C14-2013-0126,0211010710
C14-2013-0126,0211010214
C14-2013-0126,0211010217
C14-2013-0126,0211010403
C14-2013-0126,0211010906
C14-2013-0126,0211010410
C14-2013-0126,0211011101
C14-2013-0126,0211010712
C14-2013-0126,0211010211
C14-2013-0126,0112000316
C14-2013-0126,0211010307
C14-2013-0126,0211010730
C14-2013-0126,0211011005
C14-2013-0126,0211010507
C14-2013-0126,0211010731
C14-2013-0126,0211010733
C14-2013-0126,0211010505
C14-2013-0126,0211010904
C14-2013-0126,0211010711
C14-2013-0126,0211010501
C14-2013-0126,0211010713
C14-2013-0126,0211010269
C14-2013-0126,0211010727
C14-2013-0126,0211010306
C14-2013-0126,0211010409
C14-2013-0126,0211010709
C14-2013-0126,0211010715
C14-2013-0126,0211010704
C14-2013-0126,0211010208
C14-2013-0126,0211010216
C14-2013-0126,0211010726
C14-2013-0126,0211010212
C14-2013-0126,0211010801
C14-2013-0126,0211010805
C14-2013-0126,0211010802
C14-2013-0126,0211010806
C14-2013-0126,0211010803
C14-2013-0126,0211010808
C14-2013-0126,0211010807
C14-2013-0126,0211010809
C14-2013-0126,0211010804
C14-2013-0158,0206030705
C14-2013-0158,0206030208
C14-2013-0158,0206030314
C14-2013-0158,0206030701
C14-2013-0158,0206030712
C14-2013-0158,0206030713
C14-2013-0158,0206030801
C14-2013-0158,0206030802
C14-2013-0158,0206030711
C14-2013-0158,0206030714
C14-2013-0158,0206030703
C14-2013-0158,0206030811
C14-2013-0158,0206030704
C14-2013-0158,0206030707
C14-2013-0158,0206030315
C14-2013-0158,0206030205
C14-2013-0158,0206030702
C14-2013-0158,0206030316
C14-2013-0158,0206030212
C14-2013-0158,0206030706
C14-2014-0015,0110060709
C14-2014-0015,0109060211
C14-2014-0015,0109060210
C14-2014-0015,0110060402
C14-2014-0015,0109060207
C14-2014-0015,0110060707
C14-2014-0015,0110060710
C14-2014-0015,0110060717
C14-2014-0015,0110060411
C14-2014-0015,0110060713
C14-2014-0015,0110060702
C14-2014-0015,0109060208
C14-2014-0015,0110060714
C14-2014-0015,0110060406
C14-2014-0015,0110060715
C14-2014-0015,0110060409
C14-2014-0015,0110060408
C14-2014-0015,0109060214
C14-2014-0015,0110060405
C14-2014-0015,0110060403
C14-2014-0015,0110060404
C14-2014-0015,0110060401
C14-2014-0015,0109060209
C14-2014-0015,0109060212
C14-2014-0015,0109060213
C14-2014-0015,0110060412
C14-2014-0015,0110060716
C14-2014-0015,0110060410
C14-2014-0015,0110060704
C14-2014-0015,0110062301
C14-2014-0070,0310140139
C14-2014-0070,0315111004
C14-2014-0070,0310140163
C14-2014-0070,0310140150
C14-2014-0070,0310140134
C14-2014-0070,0310140169
C14-2014-0070,0310140155
C14-2014-0070,0310140401
C14-2014-0194,0202120313
C14-2014-0194,0202120210
C14-2014-0194,0202120207
C14-2014-0194,0202120709
C14-2014-0194,0202120708
C14-2014-0194,0202120202
C14-2014-0194,0202120203
C14-2014-0194,0202120706
C14-2014-0194,0202120704
C14-2014-0194,0202120703
C14-2014-0194,0202120711
C14-2014-0194,0202120705
C14-2014-0194,0202120211
C14-2014-0194,0202120710
C14-2014-0194,0202120707
C14H-2014-0014,0302001005
C14H-2014-0014,0302001409
C14H-2014-0014,0302020105
C14H-2014-0014,0302020121
C14H-2014-0014,0302020119
