Geographic_Layer,Architecture,Anchor_Year,Evaluation_Year,OOS_Offset,MdAPE
Macro,CAT_Depth6,2021,2021,+3 Yr,0.0801
Macro,CAT_Depth10,2021,2021,+3 Yr,1.2661
Meso,LGBM_Depth6,2018,2018,+1 Yr,0.4317
Meso,LGBM_Depth6,2018,2019,+1 Yr,0.6056
Meso,LGBM_Depth6,2018,2020,+1 Yr,0.2421
Meso,LGBM_Depth6,2018,2021,+1 Yr,0.1292
Meso,LGBM_Depth6,2018,2022,+1 Yr,1.8254
Meso,LGBM_Depth6,2018,2023,+1 Yr,0.1769
Meso,LGBM_Depth10,2018,2018,+1 Yr,0.5895
Meso,LGBM_Depth10,2018,2019,+1 Yr,0.7151
Meso,LGBM_Depth10,2018,2020,+1 Yr,0.4218
Meso,LGBM_Depth10,2018,2021,+1 Yr,0.173
Meso,LGBM_Depth10,2018,2022,+1 Yr,1.819
Meso,LGBM_Depth10,2018,2023,+1 Yr,0.0689
Meso,XGB_Depth6,2018,2018,+1 Yr,0.488
Meso,XGB_Depth6,2018,2019,+1 Yr,0.9903
Meso,XGB_Depth6,2018,2020,+1 Yr,0.9885
Meso,XGB_Depth6,2018,2021,+1 Yr,0.9721
Meso,XGB_Depth6,2018,2022,+1 Yr,1.3187
Meso,XGB_Depth6,2018,2023,+1 Yr,0.9415
Meso,XGB_Depth10,2018,2018,+1 Yr,0.588
Meso,XGB_Depth10,2018,2019,+1 Yr,0.9929
Meso,XGB_Depth10,2018,2020,+1 Yr,0.9932
Meso,XGB_Depth10,2018,2021,+1 Yr,0.9807
Meso,XGB_Depth10,2018,2022,+1 Yr,0.4828
Meso,XGB_Depth10,2018,2023,+1 Yr,0.9596
Meso,CAT_Depth6,2018,2018,+1 Yr,1.3048
Meso,CAT_Depth6,2018,2019,+1 Yr,0.7587
Meso,CAT_Depth6,2018,2020,+1 Yr,1.1127
Meso,CAT_Depth6,2018,2021,+1 Yr,0.432
Meso,CAT_Depth6,2018,2022,+1 Yr,4.0414
Meso,CAT_Depth6,2018,2023,+1 Yr,2.796
Meso,CAT_Depth10,2018,2018,+1 Yr,0.7938
Meso,CAT_Depth10,2018,2019,+1 Yr,0.6162
Meso,CAT_Depth10,2018,2020,+1 Yr,0.9105
Meso,CAT_Depth10,2018,2021,+1 Yr,1.188
Meso,CAT_Depth10,2018,2022,+1 Yr,3.566
Meso,CAT_Depth10,2018,2023,+1 Yr,3.3238
Meso,LGBM_Depth6,2019,2019,+1 Yr,0.3464
Meso,LGBM_Depth6,2019,2020,+1 Yr,0.2346
Meso,LGBM_Depth6,2019,2021,+1 Yr,0.0084
Meso,LGBM_Depth6,2019,2022,+1 Yr,1.9757
Meso,LGBM_Depth6,2019,2023,+1 Yr,0.104
Meso,LGBM_Depth10,2019,2019,+1 Yr,0.4923
Meso,LGBM_Depth10,2019,2020,+1 Yr,0.3342
Meso,LGBM_Depth10,2019,2021,+1 Yr,0.1795
Meso,LGBM_Depth10,2019,2022,+1 Yr,1.9947
Meso,LGBM_Depth10,2019,2023,+1 Yr,0.0753
Meso,XGB_Depth6,2019,2019,+1 Yr,0.9907
Meso,XGB_Depth6,2019,2020,+1 Yr,0.9899
Meso,XGB_Depth6,2019,2021,+1 Yr,0.9752
Meso,XGB_Depth6,2019,2022,+1 Yr,1.3143
Meso,XGB_Depth6,2019,2023,+1 Yr,0.9438
Meso,XGB_Depth10,2019,2019,+1 Yr,0.9936
Meso,XGB_Depth10,2019,2020,+1 Yr,0.9941
Meso,XGB_Depth10,2019,2021,+1 Yr,0.9841
Meso,XGB_Depth10,2019,2022,+1 Yr,0.7602
Meso,XGB_Depth10,2019,2023,+1 Yr,0.9609
Meso,CAT_Depth6,2019,2019,+1 Yr,0.7637
Meso,CAT_Depth6,2019,2020,+1 Yr,1.1015
Meso,CAT_Depth6,2019,2021,+1 Yr,1.1008
Meso,CAT_Depth6,2019,2022,+1 Yr,2.9858
Meso,CAT_Depth6,2019,2023,+1 Yr,1.8942
Meso,CAT_Depth10,2019,2019,+1 Yr,0.583
Meso,CAT_Depth10,2019,2020,+1 Yr,0.971
Meso,CAT_Depth10,2019,2021,+1 Yr,1.5143
Meso,CAT_Depth10,2019,2022,+1 Yr,3.7232
Meso,CAT_Depth10,2019,2023,+1 Yr,3.1566
Meso,LGBM_Depth6,2020,2020,+1 Yr,0.1769
Meso,LGBM_Depth6,2020,2021,+1 Yr,1.3384
Meso,LGBM_Depth6,2020,2022,+1 Yr,4.4674
Meso,LGBM_Depth6,2020,2023,+1 Yr,0.6061
Meso,LGBM_Depth10,2020,2020,+1 Yr,0.2559
Meso,LGBM_Depth10,2020,2021,+1 Yr,0.8508
Meso,LGBM_Depth10,2020,2022,+1 Yr,4.7263
Meso,LGBM_Depth10,2020,2023,+1 Yr,0.437
Meso,XGB_Depth6,2020,2020,+1 Yr,0.5688
Meso,XGB_Depth6,2020,2021,+1 Yr,0.555
Meso,XGB_Depth6,2020,2022,+1 Yr,2.1178
Meso,XGB_Depth6,2020,2023,+1 Yr,0.1918
Meso,XGB_Depth10,2020,2020,+1 Yr,0.7434
Meso,XGB_Depth10,2020,2021,+1 Yr,0.7109
Meso,XGB_Depth10,2020,2022,+1 Yr,2.2949
Meso,XGB_Depth10,2020,2023,+1 Yr,0.36
Meso,CAT_Depth6,2020,2020,+1 Yr,1.4667
Meso,CAT_Depth6,2020,2021,+1 Yr,3.6894
Meso,CAT_Depth6,2020,2022,+1 Yr,3.0475
Meso,CAT_Depth6,2020,2023,+1 Yr,3.4662
Meso,CAT_Depth10,2020,2020,+1 Yr,1.4407
Meso,CAT_Depth10,2020,2021,+1 Yr,1.8983
Meso,CAT_Depth10,2020,2022,+1 Yr,3.2892
Meso,CAT_Depth10,2020,2023,+1 Yr,3.7615
Meso,LGBM_Depth6,2021,2021,+1 Yr,0.8604
Meso,LGBM_Depth6,2021,2022,+1 Yr,3.7534
Meso,LGBM_Depth6,2021,2023,+1 Yr,0.201
Meso,LGBM_Depth10,2021,2021,+1 Yr,0.4079
Meso,LGBM_Depth10,2021,2022,+1 Yr,3.5127
Meso,LGBM_Depth10,2021,2023,+1 Yr,0.0356
Meso,XGB_Depth6,2021,2021,+1 Yr,0.404
Meso,XGB_Depth6,2021,2022,+1 Yr,2.8456
Meso,XGB_Depth6,2021,2023,+1 Yr,0.1473
Meso,XGB_Depth10,2021,2021,+1 Yr,0.4858
Meso,XGB_Depth10,2021,2022,+1 Yr,2.6781
Meso,XGB_Depth10,2021,2023,+1 Yr,0.0129
Meso,CAT_Depth6,2021,2021,+1 Yr,2.3291
Meso,CAT_Depth6,2021,2022,+1 Yr,3.9962
Meso,CAT_Depth6,2021,2023,+1 Yr,2.967
Meso,CAT_Depth10,2021,2021,+1 Yr,2.0048
Meso,CAT_Depth10,2021,2022,+1 Yr,3.5049
Meso,CAT_Depth10,2021,2023,+1 Yr,2.073
Meso,LGBM_Depth6,2022,2022,+1 Yr,2.8686
Meso,LGBM_Depth6,2022,2023,+1 Yr,0.0925
Meso,LGBM_Depth10,2022,2022,+1 Yr,2.9633
Meso,LGBM_Depth10,2022,2023,+1 Yr,0.0863
Meso,XGB_Depth6,2022,2022,+1 Yr,3.1958
Meso,XGB_Depth6,2022,2023,+1 Yr,0.5567
Meso,XGB_Depth10,2022,2022,+1 Yr,4.089
Meso,XGB_Depth10,2022,2023,+1 Yr,0.5203
Meso,CAT_Depth6,2022,2022,+1 Yr,2.5591
Meso,CAT_Depth6,2022,2023,+1 Yr,3.8683
Meso,CAT_Depth10,2022,2022,+1 Yr,3.6963
Meso,CAT_Depth10,2022,2023,+1 Yr,2.6197
Meso,LGBM_Depth6,2023,2023,+1 Yr,0.2061
Meso,LGBM_Depth10,2023,2023,+1 Yr,0.2885
Meso,XGB_Depth6,2023,2023,+1 Yr,0.2647
Meso,XGB_Depth10,2023,2023,+1 Yr,0.1747
Meso,CAT_Depth6,2023,2023,+1 Yr,1.6827
Meso,CAT_Depth10,2023,2023,+1 Yr,2.6199
Meso,LGBM_Depth6,2018,2018,+2 Yr,0.1232
Meso,LGBM_Depth6,2018,2019,+2 Yr,0.0904
Meso,LGBM_Depth6,2018,2020,+2 Yr,0.0659
Meso,LGBM_Depth6,2018,2021,+2 Yr,0.8313
Meso,LGBM_Depth6,2018,2022,+2 Yr,3.9784
Meso,LGBM_Depth10,2018,2018,+2 Yr,0.1587
Meso,LGBM_Depth10,2018,2019,+2 Yr,0.0167
Meso,LGBM_Depth10,2018,2020,+2 Yr,0.0112
Meso,LGBM_Depth10,2018,2021,+2 Yr,0.6843
Meso,LGBM_Depth10,2018,2022,+2 Yr,4.5612
Meso,XGB_Depth6,2018,2018,+2 Yr,0.7556
Meso,XGB_Depth6,2018,2019,+2 Yr,0.9707
Meso,XGB_Depth6,2018,2020,+2 Yr,0.9856
Meso,XGB_Depth6,2018,2021,+2 Yr,0.9819
