parcel_id,year,lr_score,diff_score,ensemble_score,lr_cal,diff_cal,ens_cal,actual,lat,lon
0424170623,2021,0.0,0.79705,0.39852,0.000142,0.972179,0.299945,1,30.184639,-97.800142
0424170624,2021,0.0,0.63873,0.31936,0.000142,0.814634,0.173923,1,30.184669,-97.800347
0424170625,2021,0.0,0.7976,0.3988,0.000142,0.972417,0.30045,1,30.184607,-97.800565
0424170626,2021,0.0,0.68897,0.34448,0.000142,0.887564,0.21003,1,30.1845,-97.800643
0424170627,2021,0.0,0.99603,0.49801,0.000142,0.999999,0.495903,1,30.184353,-97.800683
0424170708,2021,0.0,0.99635,0.49817,0.000142,1.0,0.496232,1,30.185471,-97.79913
0424170810,2021,0.0,0.79746,0.39873,0.000142,0.972357,0.300324,1,30.18446,-97.799144
0424170811,2021,0.0,0.61148,0.30574,0.000142,0.764629,0.155958,1,30.184581,-97.799128
0424170812,2021,0.0,0.71368,0.35684,0.000142,0.914721,0.229176,1,30.184705,-97.799112
0424170813,2021,0.0,0.89809,0.44905,0.000142,0.996507,0.396257,1,30.184828,-97.799095
0424170814,2021,0.0,0.69966,0.34983,0.000142,0.899976,0.218208,1,30.184948,-97.799079
0424170815,2021,0.0,0.92987,0.46494,0.000142,0.998788,0.428193,1,30.185092,-97.799093
0424210301,2021,0.0,0.99634,0.49817,0.000142,1.0,0.496232,1,30.189505,-97.824233
0424210302,2021,0.0,0.89819,0.4491,0.000142,0.996517,0.396356,1,30.189248,-97.824647
