"CASE_NUMBER","CASE_NAME","SUB_TYPE","APPLICATION_START_DATE","DETAILED_STATUS","COUNCIL_DISTRICT","PROPOSED_ZONING","EXISTING_ZONING","TCAD_ID","DESCRIPTION_OF_WORK","LATITUDE","LONGITUDE"
"C12M-2011-0003","Southeast Travis County Municipal Utility District No. 1","Municipal Utility District (MUD)","03/28/2011","Approved","","N/A","","","The applicant is proposing to create a MUD.","",""
"C814-05-0069","WATERSEDGE PUD","Planned Unit Development (PUD)","04/28/2005","Approved","","PUD","N/A","","","",""
"C814-01-0113","GRAND OAKS (RESUBMITTAL OF C814-00-2146)","Planned Unit Development (PUD)","08/06/2001","Closed","","PUD","SF-2","","","",""
"C12M-2018-0005","Austin Green Water District","Municipal Utility District (MUD)","12/20/2018","Closed","","PUD - PLANNED UNIT DEVELOPMENT","","","To create a Water District","30.23187270","-97.62615701"
"NPA-2007-0012.06","Upper Boggy Creek Neighborhood Planning Area","Amended Neighborhood Plan","09/07/2007","Closed","","","","","Rezoning to implement Vertical Mixed Use (VMU) From Multi-Family to Mixed-Use","",""
"C14-2008-0076","Tech Ridge","Planned Development Agreement (PDA)","03/21/2008","Closed","","LI-PDA","SF-2 - SINGLE FAMILY STANDARD","","The applicant is requesting to rezone property from SF-2 to LI-PDA.","",""
"C814-2012-0152.02","Pilot Knob PUD 2nd Amendment","Planned Unit Development (PUD)","08/10/2018","Closed","","PUD - PLANNED UNIT DEVELOPMENT","Unzoned","","The application is proposing to add additional land within the project area as shown on the Pilot Knob PUD land use existing plan.","",""
"C12M-2008-0001","SENNA HILLS MUD ANNEXATION","Municipal Utility District (MUD)","07/23/2008","Closed","","N/A","","0119480201","10324 FM 2244; annexation was denied by City Council on 1/15/2009 but the MUD proceeded to obtain TCEQ authorization for  annexation. The tract was annexed effective 4/14/2010. In 2013, MUD review sta","30.30830806","-97.89423468"
"C814-04-0061.02","Ribelin Ranch PUD Amendment #2 - Austin Baptist Church Minor Amendment","Planned Unit Development (PUD)","03/15/2021","Closed","","PUD, to add the following note: Section 25-1-21(105) (Definition of Site) is modified to provide that the 26.103 acres outlined in Tract 1B may cross a public street or right-of-way.","PUD, planned unit development","","The Applicant is proposing to amend a previously approved Planned Unit Development to add the following note:
Section 25-1-21(105) (Definition of Site) is modified to provide that the 26.103 acres ou","",""
"C814-01-0114","COMANCHE CANYON RANCH, ETJ P.U.D.","Planned Unit Development (PUD)","12/27/2001","Closed","","","N/A","","","",""
