CASE_NUMBER,Meeting_Date,vote_yes,vote_no,nay_members,matched
C14-2019-0053,2020-01-23T00:00:00.000,,,,False
C14-2012-0109,2013-05-23T00:00:00.000,,,,False
C14-2016-0049,2016-11-10T00:00:00.000,,,,False
C14-2017-0086,2017-11-09T00:00:00.000,,,,False
C14-2010-0106,2010-11-18T00:00:00.000,,,,False
C14-2008-0242,2009-10-22T00:00:00.000,,,,False
C14-2016-0079,2017-01-26T00:00:00.000,,,,False
C14-2013-0149,2014-02-27T00:00:00.000,,,,False
C814-88-0001.10,2014-02-27T00:00:00.000,,,,False
C14-2014-0153,2015-02-12T00:00:00.000,7.0,0.0,,True
C14-2018-0043,2018-11-01T00:00:00.000,,,,False
C14H-2016-0120,2017-03-02T00:00:00.000,,,,False
C14-2015-0157,2016-03-24T00:00:00.000,,,,False
C14-2011-0087,2012-04-05T00:00:00.000,,,,False
NPA-2018-0026.02,2018-08-30T00:00:00.000,,,,False
C14-98-0146,2017-12-07T00:00:00.000,,,,False
C14-2012-0038,2012-06-28T00:00:00.000,,,,False
C14-2013-0118,2014-05-01T00:00:00.000,,,,False
C14-2016-0021,2017-09-28T00:00:00.000,,,,False
C14-2018-0128,2019-09-19T00:00:00.000,,,,False
C14-2013-0032,2013-09-26T00:00:00.000,,,,False
C14H-2015-0147,2016-06-16T00:00:00.000,,,,False
NPA-2017-0016.02,2018-04-26T00:00:00.000,10.0,1.0,with Renteria,True
C14-2014-0133,2014-12-11T00:00:00.000,,,,False
