CASE_NUMBER,Meeting_Date,vote_yes,vote_no,nay_members,matched
C14-2017-0118,2018-02-01T00:00:00.000,,,,False
C14-2018-0056,2018-12-13T00:00:00.000,9.0,0.0,,True
C14H-2017-0006,2018-05-24T00:00:00.000,6.0,3.0,"Tovo, Alter, Pool",True
NPA-2016-0005.04,2018-03-22T00:00:00.000,,,,False
C14-2018-0022,2018-08-09T00:00:00.000,10.0,0.0,,True
C14-2019-0003,2020-04-23T00:00:00.000,,,,False
C14-2019-0007,2019-06-20T00:00:00.000,,,,False
C14-2018-0088,2019-02-21T00:00:00.000,,,,False
C814-2018-0121,2020-04-23T00:00:00.000,,,,False
C14-2017-0066,2018-08-09T00:00:00.000,,,,False
C14-2017-0134,2018-02-01T00:00:00.000,,,,False
C14-2017-0094,2018-02-01T00:00:00.000,,,,False
NPA-2019-0021.01,2019-06-20T00:00:00.000,,,,False
C14-2018-0079,2018-12-13T00:00:00.000,10.0,0.0,,True
C14-2019-0043,2019-06-06T00:00:00.000,,,,False
C14-2018-0102,2019-04-25T00:00:00.000,,,,False
NPA-2017-0016.03,2018-12-13T00:00:00.000,,,,False
NPA-2017-0016.05,2018-06-14T00:00:00.000,,,,False
C14-2018-0147,2019-03-07T00:00:00.000,,,,False
C14-2019-0163,2020-03-12T00:00:00.000,11.0,0.0,,True
NPA-2016-0005.04,2019-01-31T00:00:00.000,,,,False
C14-2018-0135,2019-03-28T00:00:00.000,,,,False
C14-2019-0124,2019-12-05T00:00:00.000,,,,False
C14-2019-0017,2019-06-06T00:00:00.000,,,,False
NPA-2017-0021.01,2018-03-22T00:00:00.000,,,,False
C14-2019-0049,2019-12-05T00:00:00.000,9.0,1.0,"-1, Tovo ; Pool abstained",True
C14-2017-0133,2018-02-01T00:00:00.000,11.0,0.0,,True
C14-2018-0116,2018-12-13T00:00:00.000,,,,False
NPA-2017-0021.01,2019-08-08T00:00:00.000,,,,False
C14-2018-0092,2018-12-13T00:00:00.000,,,,False
NPA-2018-0021.01,2019-08-08T00:00:00.000,,,,False
C14-2017-0136,2018-02-01T00:00:00.000,,,,False
C14-2018-0139,2019-02-07T00:00:00.000,,,,False
NPA-2019-0019.01,2019-09-19T00:00:00.000,,,,False
C14-2018-0001,2019-02-07T00:00:00.000,,,,False
NPA-2019-0020.04,2019-11-14T00:00:00.000,11.0,0.0,,True
C14-2018-0041,2018-06-14T00:00:00.000,,,,False
C14H-2019-0111,2019-09-19T00:00:00.000,,,,False
C14-2019-0085,2019-09-19T00:00:00.000,,,,False
NPA-2016-0016.01,2018-03-01T00:00:00.000,11.0,0.0,,True
