case_number,nlp_svd_0,nlp_svd_1,nlp_svd_2,nlp_svd_3,nlp_svd_4,nlp_svd_5,nlp_svd_6,nlp_svd_7,nlp_svd_8,nlp_svd_9,nlp_svd_10,nlp_svd_11,nlp_svd_12,nlp_svd_13,nlp_svd_14,nlp_svd_15,nlp_svd_16,nlp_svd_17,nlp_svd_18,nlp_svd_19
C14-2012-0046,0.5177206180090512,-0.1838927016633716,0.12539403172606772,-0.2851116847162938,0.18028205219852841,-0.16581350960544963,-0.06145672506447672,-0.033218164919117665,0.15352260901826628,0.1316725374754632,0.012210598063399613,-0.0333658389935103,0.012216924957807832,0.09736097719762606,-0.06947237941085459,-0.09695629234762668,-0.0587293061517654,0.03682844893498918,0.030855584884755937,0.05888079094394706
C14-2019-0106,0.3653380373959351,0.019108586490085972,-0.03663062256017415,0.1230968389412341,-0.07537463250541905,-0.08468428837453772,0.12382999090266276,0.08677870709303993,-0.09785355891834263,-0.01143116097137367,-0.07818351036994114,0.12357235506291571,0.03485042225149624,-0.1455323784358798,0.014992015877028746,0.038907574551089855,0.036027183030185865,-0.028902071207826775,-0.05279396824825356,0.01573742084538891
C14-2017-0076,0.3701362692006284,-0.015409448494980967,0.00438497415174649,0.05702083720165451,0.3655792202259961,0.21199720788580081,0.16742303854242924,0.18310756354614421,-0.07503601544287887,-0.08023558217442343,0.10551615390971726,0.060949859012520834,0.040240974938376306,0.243185350514702,0.04392423055977442,0.07498729704293777,0.19887165631177267,-0.17619135384129897,0.439568631456187,-0.014805928446444993
C14-2015-0127,0.3026789563999671,-0.0741121197407074,0.2571029306582427,-0.1136378813943442,-0.16135293280725757,0.0680753393096524,-0.09684944018344115,0.1502138672493356,0.0117880556146805,-0.037808442973495275,-0.0333676072345319,-0.0213401768146029,-0.002574474927513059,-0.03655326971047664,-0.1159332940608957,-0.049120417395112886,-0.03563782909936049,-0.05722556012383492,0.041469723813150644,0.02267839106172688
C14-2014-0012,0.3948081468255149,-0.08991316155492514,0.23553661333786208,-0.1275416641894495,0.013918038898608157,-0.08057390361105553,-0.04592810887519722,0.23001599048962573,-0.22538946330775605,0.2665350653245984,-0.006284124300922793,0.08332772808405432,-0.11791796313922143,-0.06473143371482255,0.0016535523663954613,0.00363279082317524,-0.041477422749541484,0.09822176023279942,-0.09784280367092113,-0.1262997675257385
C14-2014-0009,0.5791832257216633,-0.03869470475375379,-0.21604680508051105,-0.1684832187186473,0.09571710956406737,0.11531583568792839,-0.17861971660322687,0.09920409639668568,-0.2534969410568693,-0.1006722844895986,0.003788918723603076,0.04829790823692113,-0.05891003956324362,0.06942844330759541,-0.0010169737434232834,-0.1017904637428249,-0.028905762406677495,0.022467456881108055,-0.07871744302200887,0.04183315989987207
C14-2012-0093,0.40001554117880933,-0.13728948163169125,0.43101298064129123,-0.15346588162258595,0.040214551153743415,-0.14851834864746896,-0.16500483586569806,-0.14685089497923873,-0.034650237863660366,-0.16579235701406228,0.015822731643664354,-0.023492008208701173,-0.14513954204522886,0.010097090573932115,-0.17300579603080007,-0.04532236731369073,0.023967760711410678,-0.022621383142051414,0.023438929379218456,0.025341359999251044
C14-2013-0083,0.46964810584711825,-0.0265979406682977,-0.11478215617737653,0.1284452546369836,-0.15681524103790545,0.043727308419219436,-0.012829945734211217,0.03899783771284858,-0.10022961668100622,0.06066949132753566,0.05753903614366788,0.026124089180129446,0.015883361691155277,0.12770331805721946,-0.1301980906114801,-0.04011015065675928,-0.0692078371194759,0.026325829230601328,0.024937837464359434,-0.26807325015586553
C14-2011-0065,0.1983579691911734,-0.05180681542341431,0.11661837868494224,0.06262638900456467,0.14784664731452507,0.27501528820501414,0.2616023609342102,-0.05563738670050436,-0.027470608836707978,0.03210730052160027,0.6182226990219931,0.19433080747130163,0.08735826508981678,-0.00031357471769372645,-0.1546732608649071,0.0849623646632888,0.017504630816273344,0.18229349308420878,-0.31029629825209926,0.15576268044641026
NPA-2010-0021.02,0.2158690744795601,0.3753318126881125,0.13455014764993545,0.00040623314790454775,-0.013239298607603013,-0.01979432381398844,-0.07252195767252628,-0.05038409023631749,-0.002327146673846784,0.04721157282155028,0.023721470272998715,-0.03427179259482981,0.016210292448211087,0.00027692347147162226,0.014390807802180177,-0.0506319718870994,-0.005786112701731494,0.06885816752992364,0.06195247686315827,-0.007838769845871535
