standardized_tcad_id,CASE_NUMBER,SUB_TYPE,APPLICATION_START_DATE,env_id,LATITUDE,LONGITUDE,zoning_delta_intensity
0412050606,NPA-2019-0020.01,Amended Neighborhood Plan,01/15/2019,Regime_0,30.21469515,-97.76509742,1.0
0412050601,NPA-2019-0020.01,Amended Neighborhood Plan,01/15/2019,Regime_0,30.21469515,-97.76509742,1.0
0412050604,NPA-2019-0020.01,Amended Neighborhood Plan,01/15/2019,Regime_0,30.21469515,-97.76509742,1.0
0412050603,NPA-2019-0020.01,Amended Neighborhood Plan,01/15/2019,Regime_0,30.21469515,-97.76509742,1.0
0412050602,NPA-2019-0020.01,Amended Neighborhood Plan,01/15/2019,Regime_0,30.21469515,-97.76509742,1.0
0412050518,NPA-2019-0020.01,Amended Neighborhood Plan,01/15/2019,Regime_0,30.21469515,-97.76509742,1.0
0412050517,NPA-2019-0020.01,Amended Neighborhood Plan,01/15/2019,Regime_0,30.21469515,-97.76509742,1.0
0412050605,NPA-2019-0020.01,Amended Neighborhood Plan,01/15/2019,Regime_0,30.21469515,-97.76509742,1.0
0412050610,NPA-2019-0020.01,Amended Neighborhood Plan,01/15/2019,Regime_0,30.21469515,-97.76509742,1.0
0412050620,NPA-2019-0020.01,Amended Neighborhood Plan,01/15/2019,Regime_0,30.21469515,-97.76509742,1.0
0412050613,NPA-2019-0020.01,Amended Neighborhood Plan,01/15/2019,Regime_0,30.21469515,-97.76509742,1.0
0412050614,NPA-2019-0020.01,Amended Neighborhood Plan,01/15/2019,Regime_0,30.21469515,-97.76509742,1.0
0412050619,NPA-2019-0020.01,Amended Neighborhood Plan,01/15/2019,Regime_0,30.21469515,-97.76509742,1.0
0412050516,NPA-2019-0020.01,Amended Neighborhood Plan,01/15/2019,Regime_0,30.21469515,-97.76509742,1.0
0412050621,NPA-2019-0020.01,Amended Neighborhood Plan,01/15/2019,Regime_0,30.21469515,-97.76509742,1.0
0412050622,NPA-2019-0020.01,Amended Neighborhood Plan,01/15/2019,Regime_0,30.21469515,-97.76509742,1.0
0412050623,NPA-2019-0020.01,Amended Neighborhood Plan,01/15/2019,Regime_0,30.21469515,-97.76509742,1.0
0412050624,NPA-2019-0020.01,Amended Neighborhood Plan,01/15/2019,Regime_0,30.21469515,-97.76509742,1.0
0412050625,NPA-2019-0020.01,Amended Neighborhood Plan,01/15/2019,Regime_0,30.21469515,-97.76509742,1.0
0412050626,NPA-2019-0020.01,Amended Neighborhood Plan,01/15/2019,Regime_0,30.21469515,-97.76509742,1.0
0412050627,NPA-2019-0020.01,Amended Neighborhood Plan,01/15/2019,Regime_0,30.21469515,-97.76509742,1.0
0412050628,NPA-2019-0020.01,Amended Neighborhood Plan,01/15/2019,Regime_0,30.21469515,-97.76509742,1.0
0412050611,NPA-2019-0020.01,Amended Neighborhood Plan,01/15/2019,Regime_0,30.21469515,-97.76509742,1.0
0412050515,NPA-2019-0020.01,Amended Neighborhood Plan,01/15/2019,Regime_0,30.21469515,-97.76509742,1.0
0412050507,NPA-2019-0020.01,Amended Neighborhood Plan,01/15/2019,Regime_0,30.21469515,-97.76509742,1.0
0412050513,NPA-2019-0020.01,Amended Neighborhood Plan,01/15/2019,Regime_0,30.21469515,-97.76509742,1.0
0412050103,NPA-2019-0020.01,Amended Neighborhood Plan,01/15/2019,Regime_0,30.21469515,-97.76509742,1.0
0412050302,NPA-2019-0020.01,Amended Neighborhood Plan,01/15/2019,Regime_0,30.21469515,-97.76509742,1.0
0412050303,NPA-2019-0020.01,Amended Neighborhood Plan,01/15/2019,Regime_0,30.21469515,-97.76509742,1.0
0412050304,NPA-2019-0020.01,Amended Neighborhood Plan,01/15/2019,Regime_0,30.21469515,-97.76509742,1.0
0412050305,NPA-2019-0020.01,Amended Neighborhood Plan,01/15/2019,Regime_0,30.21469515,-97.76509742,1.0
0412050307,NPA-2019-0020.01,Amended Neighborhood Plan,01/15/2019,Regime_0,30.21469515,-97.76509742,1.0
0412050308,NPA-2019-0020.01,Amended Neighborhood Plan,01/15/2019,Regime_0,30.21469515,-97.76509742,1.0
0412050310,NPA-2019-0020.01,Amended Neighborhood Plan,01/15/2019,Regime_0,30.21469515,-97.76509742,1.0
0412050311,NPA-2019-0020.01,Amended Neighborhood Plan,01/15/2019,Regime_0,30.21469515,-97.76509742,1.0
0412050313,NPA-2019-0020.01,Amended Neighborhood Plan,01/15/2019,Regime_0,30.21469515,-97.76509742,1.0
